strategy,year,start_nav,end_nav,year_return,year_max_drawdown
v3_original_large_layer,2021,1000000.0,1026609.9327187978,0.026609932718797857,-0.14277637909471141
v3_original_large_layer,2022,1026609.9327187978,1026609.9327187978,0.0,0.0
v3_original_large_layer,2023,1026609.9327187978,1026609.9327187978,0.0,0.0
v3_original_large_layer,2024,1026609.9327187978,1026609.9327187978,0.0,0.0
v3_original_large_layer,2025,1026609.9327187978,1026609.9327187978,0.0,0.0
v3_original_large_layer,2026,1026609.9327187978,1026609.9327187978,0.0,0.0
v3_original_combined_three_layer,2021,1000000.0,941102.1013523751,-0.05889789864762485,-0.1527101778936527
v3_original_combined_three_layer,2022,941102.1013523751,941102.1013523751,0.0,0.0
v3_original_combined_three_layer,2023,941102.1013523751,941102.1013523751,0.0,0.0
v3_original_combined_three_layer,2024,941102.1013523751,941102.1013523751,0.0,0.0
v3_original_combined_three_layer,2025,941102.1013523751,941102.1013523751,0.0,0.0
v3_original_combined_three_layer,2026,941102.1013523751,941102.1013523751,0.0,0.0
pullback_10_12_large_layer,2021,1000000.0,1000000.0,0.0,0.0
pullback_10_12_large_layer,2022,1000000.0,1001321.994275,0.0013219942750000158,0.0
pullback_10_12_large_layer,2023,1011121.994275,993752.0402749999,-0.017178890478447895,-0.04237161228400044
pullback_10_12_large_layer,2024,993752.0402749999,957826.6135099999,-0.03615129862280175,-0.03615129862280175
pullback_10_12_large_layer,2025,957826.6135099999,957826.6135099999,0.0,0.0
pullback_10_12_large_layer,2026,957826.6135099999,957826.6135099999,0.0,0.0
pullback_10_12_combined_three_layer,2021,1000000.0,867633.7678107502,-0.1323662321892498,-0.13317348410248264
pullback_10_12_combined_three_layer,2022,867633.7678107502,867633.7678107502,0.0,0.0
pullback_10_12_combined_three_layer,2023,867633.7678107502,867633.7678107502,0.0,0.0
pullback_10_12_combined_three_layer,2024,867633.7678107502,867633.7678107502,0.0,0.0
pullback_10_12_combined_three_layer,2025,867633.7678107502,867633.7678107502,0.0,0.0
pullback_10_12_combined_three_layer,2026,867633.7678107502,867633.7678107502,0.0,0.0
0050_BH,2021,1016004.5065,1187319.5065000001,0.1686163780809964,-0.11451760092748176
0050_BH,2022,1194609.5065000001,901389.5065,-0.2454525921688704,-0.36124275448059184
0050_BH,2023,905844.5065,1105914.5065000001,0.22086572095362156,-0.08325042345944578
0050_BH,2024,1101459.5065000001,1594344.5065000001,0.4474835407850737,-0.21586335110706478
0050_BH,2025,1580574.5065000001,2134209.5065,0.35027453481200377,-0.28323558484794076
0050_BH,2026,2177949.5065,3473949.5065,0.595055117729838,-0.15840867753860277
